H,I,J
2.728042284,3.903891008,2.04813705
2.797466427,5.61179359,1.33682755
1.845541584,5.673109804,1.400932736
2.986482496,2.1153299,1.849432609
1.764840416,7.077368692,2.006763885
1.914283875,5.029198487,1.677895178
1.792829531,8.952190366,2.237114256
1.688530342,1.535191268,1.209668545
1.981448874,1.640034619,6.856695094
1.854707005,8.468370186,1.891150193
1.934309369,3.010395767,2.537648228
2.006134612,1.770968149,2.487454248
2.375092706,4.960863492,2.737756349
1.711039023,10.87215160084280,1.93812723
1.167066639,9.768507996,1.973376466
1.361411011,3.924142611,1.588450791
2.844586487,1.684295484,7.151843296
1.997225292,3.847091842,6.76996679
2.201705756,2.119405557,2.844877269
1.92964138,1.316391242,3.054260288
2.510992265,1.788588547,2.248682716
3.315376996,9.63229458,1.838626524
2.020339572,5.82908209,2.303204388
2.873278692,3.397850453,2.110034524
2.374122935,2.556028068,0.836706417
2.530357021,7.357684959,6.989879566
2.610758892,8.829145645,6.833479611
2.581444718,2.987257309,7.123823237
2.290106674,3.552112744,1.845366036
1.546708939,5.672900798,3.310467206
0.791148912,7.006325678,7.32287679
2.252902126,5.167008404,1.6364742
2.583600326,10.59746384225300,2.277893197
1.604935939,3.31043968,2.20501823
2.106524026,8.727224018,1.228667446
3.001135882,9.454442651,6.783370954
2.381599827,2.989321563,1.753047587
2.766786095,5.870780074,2.110684411
1.925998154,7.171950378,2.238942527
2.028293739,7.472801331,2.252261103
1.747196751,2.147959495,2.457674547
1.989127841,10.16653531292340,2.325646152
3.008795819,13.31373461289700,1.114908219
1.526362856,9.196184397,2.24436263
1.77835447,4.817944873,2.053637894
2.285195091,2.105474665,2.273291667
1.994379553,2.278797061,1.994524905
2.710894394,12.33093793908520,2.79406415
1.485119948,6.626525598,2.147190989
1.95354278,3.627217855,6.969454669
1.701114947,6.597537172,1.07432071
3.160573518,0.734665838,2.255491044
1.945855396,9.674386087,1.374740668
2.090061298,8.081608207,3.005780998
2.367213813,5.059684496,1.848036911
1.362587591,4.954273472,7.2084119
1.784029082,3.647031199,1.839268095
2.626976562,0.821349582,6.80982408
2.879911338,3.611772886,2.204897401
1.376268868,10.14944050694500,1.247585721
2.332010919,6.20362981,1.611886945
2.812674801,9.008115063,7.291261155
1.970704749,1.380807331,2.269647868
2.346402011,9.87879417,1.132150778
1.368814113,1.07363519,7.062527145
1.769425572,5.3730626,1.990435873
1.79657521,3.974515002,1.604559972
2.540972492,0.839185956,1.777118962
3.44522029,11.02823548496930,3.784321442
2.965250952,0.998481807,1.552087092
2.1652149,3.77239427,2.1168642
2.306455194,3.812906113,1.726534898
1.485214429,0.644748727,2.14625403
1.745809029,2.366355943,1.778188796
2.646366254,7.378416162,1.597936339
1.200655604,4.336638429,7.038527857
2.098988475,0.870966951,1.967580213
2.242039348,7.398370388,1.467978578
1.968315021,9.215188546,1.870285862
2.673444519,7.706705344,1.746313773
2.041803103,1.264961391,1.60428699
2.234081337,0.718298739,2.296210924
1.843812731,7.553129556,2.006813535
1.943376598,11.86649270415270,1.326226201
1.763529363,4.062540929,2.717066606
1.483811063,4.528946641,2.075991006
1.989035925,0.744649191,1.81417825
2.16053599,6.064950479,6.949132765
2.561859152,0.556536055,0.732463508
2.240971669,8.188243731,2.182550387
1.479944509,6.012338302,1.927165793
2.528281097,3.543024017,2.377915454
1.883108531,8.112050836,6.796320025
1.509320889,1.161233861,1.718998412
1.748022933,0.935349527,6.940818884
2.535525139,6.17212188,1.96840238
2.037395236,12.21975569882260,7.20423564
2.03666296,0.572843011,1.79997806
2.513338394,3.695480067,2.383722579
1.94775409,5.401176177,2.385764473
1.782398308,12.69540314536210,1.786502171
1.961819833,10.35480831048670,2.930197954
1.459611524,5.609028226,1.886255074
2.461725252,0.571342246,2.820608254
2.6091505,4.807596811,2.123103466
1.459875304,2.146214984,6.863713254
3.074221759,10.95987482471780,2.051625131
2.581943323,12.71974602260280,7.259187729
2.25965894,4.385171087,2.187629759
1.291828156,0.806114178,2.780896533
3.323725987,1.325317735,2.535536904
3.193173177,2.104530139,7.275769353
1.958349511,10.63172565465530,2.22226982
1.543733507,2.311229845,1.765614804
2.17891511,8.451304264,1.661777042
3.087807325,12.59441433583110,2.369375691
2.290950246,0.460252469,3.046418952
2.445074939,4.50897462,1.270278414
1.810988916,3.888741069,1.374052732
1.218810279,6.018859723,2.020036559
2.735685563,12.19557416634950,2.216709557
1.765492938,9.318360025,2.142319299
2.94686955,9.829913796,2.170703413
1.795086406,3.535108398,2.206182233
2.450189131,1.641947812,7.115821264
2.38157395,2.314261513,1.954259201
2.857486009,6.983151255,2.249383092
2.691684946,8.837238088,2.687088101
2.418867725,3.914266386,2.438569677
2.279786295,1.917838533,1.962628777
2.550734902,1.372121198,7.044367315
1.989501945,1.055409729,1.493545354
2.497095087,3.70186687,1.499341884
1.406369807,2.12756681,3.327893033
2.368937383,1.910313797,7.08547097
1.932545248,6.834503221,3.166121288
2.891339169,1.165094709,1.67551899
2.423679393,0.747829636,2.925217518
1.628296826,7.302900823,2.095331631
2.553064082,13.74434478972990,1.726714118
2.399990303,4.488593272,2.150185092
2.837856601,0.609699888,2.073366255
2.26950019,4.005698398,1.462259844
1.819126738,8.8278112,2.643464328
1.253435531,9.198013739,1.509869173
2.214751768,7.117934687,1.750011612
2.097295178,1.688268972,2.36645244
1.896486606,10.45127513857670,2.220230598
2.608332311,13.57903294060450,3.443575449
1.326421323,5.208938314,6.401543615
2.212172637,10.07160435215780,2.100001442
1.731588845,1.427036231,0.83089856
2.066968759,3.59985002,2.725602339
1.824515288,1.212148421,1.388467541
1.893635596,5.737684448,2.019779021
2.318553906,7.280418304,1.900317456
1.79290529,8.558977455,6.9982484
2.379761894,5.111069536,1.793759124
1.764990287,7.693992522,1.805373288
2.843010448,9.100257333,6.926764051
2.328618196,5.238995645,2.012115039
2.320899054,6.172565975,1.914406136
1.948259143,7.673631666,1.878484022
1.623336787,4.678795886,1.8081948
2.099942319,3.944091049,1.377496641
1.883507089,1.666264717,1.578027157
3.165553953,1.343482563,7.175256422
1.585596443,9.826082376,2.854194957
1.58758363,1.04955988,2.431571671
2.344270316,4.142436256,1.538939597
2.098920676,0.745571891,0.815347731
2.09418885,1.896809555,1.649110237
1.98171212,0.532237846,1.935900485
2.644349393,3.947311296,2.047288948
2.310377756,4.324309393,1.949496657
1.832668825,7.345111163,1.765121556
2.294816307,4.12452,2.514693729
3.039482273,2.200614124,6.986518178
2.757735349,8.099496407,2.172971091
1.830792836,5.119523016,6.766038366
1.841382457,2.859804972,1.584169061
1.061990536,1.429418475,2.483357847
2.096400344,2.777100094,1.837777748
2.957387965,13.08197062344970,7.334296059
1.922198001,3.081859066,2.693102467
1.561187045,10.64594000255910,1.671921006
2.970135335,2.864336713,2.489791667
2.674860887,5.653693479,2.695097385
2.716410883,10.93550869252620,6.824982461
1.593020942,12.76114320802550,2.554399637
2.09441528,12.69949597177580,2.951465448
2.470361449,2.099129999,6.881388067
1.791784732,2.675742057,6.85543121
2.966864469,11.82119848034430,2.219933412
1.871251754,1.752454247,2.666509671
2.048107676,12.99822172267160,2.288413548
1.686298794,10.88065686433150,3.790571918
2.069188692,2.95880963,7.158564196
2.160497311,3.167893987,7.203047964
2.422263095,9.364659324,6.929859663
1.626461468,1.59861421,7.042573858
1.366592104,9.236980634,1.828013247
2.330442451,1.99877537,7.176956326
1.482861715,9.459648485,7.011274947
1.659464833,10.59850728389020,2.325236229
1.250819295,13.36415717937200,1.933026166
1.371848232,1.891585669,1.961221568
2.428124965,1.550788533,3.261157347
1.602299839,3.058552844,1.252369849
1.982091571,2.738476582,2.005858047
2.012172529,2.694091301,2.827792794
1.828816689,10.13156651164850,1.060128199
2.509748618,10.65390267169710,1.711011882
1.48310832,2.768053707,2.270446382
2.031663247,9.985050639,2.559657082
2.09747686,2.106039829,7.417594298
1.828403123,4.38392565,2.297022691
2.097761804,2.428408533,1.139316871
2.199857057,4.102631055,7.386258574
2.498145967,13.35214667811430,1.978150459
2.666534409,2.753206566,7.21046263
2.401544981,4.381302342,7.049614477
2.618655606,1.811779636,1.692007184
2.788679064,8.558329969,2.720860542
2.671898439,7.470850325,6.502074595
2.036475795,1.906203675,2.148166764
2.417795614,9.931466746,2.077766226
1.958255157,3.112191227,2.712768886
2.095691819,10.03665309607370,2.855969199
1.711022391,1.689496031,1.759518932
1.728948648,12.77659808298750,2.131767116
2.337941606,2.719495815,6.997039787
0.964877344,10.40013676749220,1.820068893
